Category,Level,Course Name,Course Desctiption,Course Code,Prerequisites,Certification,Duration
Operations,1,Four Essential Customer Service Skills,"There are a handful of customer service skills that can make the difference between an average experience and one that leaves your customers feeling completely delighted. Do you know what those skills are? Do you have them? In this course, we'll uncover four essential customer service skills and give you tons of tips, food for thought, and resources for developing these skills. Let's get started!",LE101,,,
Operations,1,DILO & Responsibilities,"Have you ever wondered what a day in the life of a call center manager is? What are their responsibilities and the tasks they need to get done daily? Call center managers do have a lot to deal with- when it comes down to it, they hold responsibility for the overall performance and success of their team and the organization. In this course, you will learn the responsibilities of a call center manager and some routine tasks you will have to perform daily to support your team and lead them to success.",LE102,,,
Operations,1,Leadership Fundamentals,"Being a successful leader requires more than a title. It takes a special set of skills, knowledge, and tools to lead effectively and ignite passion and productivity in a team. 
Whether you are a seasoned supervisor or a newly-promoted one, this course will provide you with the key, most fundamental skills you need to be an ibex leader and lead others effectively. You will walk away with practical, easy-to-implement tools and techniques and a new sense of possibility and purpose.",LE103,,,
Operations,1,Leadership Operating Roles,"No matter what your specific management position entails, you will find yourself wearing many different hats and responding to the needs of many different people — not just your team members' but your managers and the people around you. 
In this course, you will learn about our different Leadership Operating Roles and how you can use them to overcome various situations you may encounter in your role.",LE104,,CE,
Operations,1,Climbing the Learning Ladder,"The Conscious Competence Ladder is a simple framework that key factors we encounter as we learn new skills. This model was developed in the 1970s by Noel Burch to demonstrate the various stages of learning while calling attention to two components that affect our thinking as we progress through the four learning stages. 
This course will guide you through the stages while providing insight into things we should consider as we progress through our Leadership journey at ibex.",LE105,,CE,
Operations,1,Peer to Leader,"Being selected for a leadership role is worthy of praise, but we should also expect that becoming one won't be a walk in the park. New Supervisors go through a difficult period of transitioning from being simple peers to becoming the leader of the team. 
In this course, you will understand the learning phases you will encounter during this transition, what emotions and common pitfalls you may encounter along the way, and how to effectively circumvent these obstacles to break through and emerge as a more reliable and trustworthy LEADER.",LE106,,CE,
Operations,1,Intro to Time Management - Eisenhower Matrix,"When your tasks list gets longer and deadlines draw closer, you may find that you never seem to have enough hours in the day. Everything is now urgent and a MUST-DO! With the Eisenhower Matrix you can say goodbye to putting out fires and stretching yourself thin on tasks. This course will help you reevaluate your priorities, and learn how to focus on what is important and urgent.",LE107,,CE,
Operations,1,Problem Solving Basics,"Problems can be confusing, and they come in many sizes and degrees of complexity, but they are unavoidable in life. 
Problem-solving refers to a person's ability to successfully manage and find solutions for complex and unexpected situations in their life and environment. The ability to solve problems is essential to leaders and their organizations.
In this course, you will learn the basics of problem-solving and how you can improve your critical thinking and decision-making skills.",LE108,,,
Operations,1,The Complete Guide for New Professionals,"You’ve soared through grueling interviews, nailed awkward negotiations, and finally accepted the offer. Yet, when the alarm goes off on the first day of your new job, you can’t quite get a handle on your emotions. Landing a big job early in your career brings with it a mix of feelings: excitement and pride, but also anxiety and self-doubt. You want to make sure to start this new chapter off right. This guide will help. Start by learning strategies to make your first weeks on the job a success. Then, get tips to build a strong network that will help you today and in the future. Finally, complete the course with some practical tips to move from “newbie” to “rising star” as you work to grow your skills and career.",LE109,,,
Operations,1,Servant Leadership,"Servant leadership is a philosophy and leadership style that might seem contradictory at first glance, but it has gained popularity in many businesses because it places a strong emphasis on the well-being and development of employees. The core idea of servant leadership is that by focusing on serving and empowering your team members, you, as a leader, can create a work environment where both employees and the organization thrive. In this course, you will learn that servant leadership is not about being a pushover or neglecting the organization's goals. Instead, it's about recognizing that by putting the needs and growth of employees first, a leader can ultimately achieve better results for the company. It's a long-term approach that prioritizes the development of people and the creation of a positive workplace culture.",LE110,,,
